package,description
LaplacesDemon,Complete Environment for Bayesian Inference
lar,History of labour relations package
LARF,Local Average Response Functions for Instrumental Variable Estimation of Treatment Effects
largeList,Serialization Interface for Large List Objects
LARisk,Estimation of Lifetime Attributable Risk of Cancer from Radiation Exposure
lars,"Least Angle Regression, Lasso and Forward Stagewise"
lass0,Lasso-Zero for (High-Dimensional) Linear Regression
lasso2,L1 Constrained Estimation aka ‘lasso’
LassoBacktracking,Modelling Interactions in High-Dimensional Data with Backtracking
LassoGEE,High-Dimensional Lasso Generalized Estimating Equations
LassoNet,3CoSE Algorithm
lassopv,Nonparametric P-Value Estimation for Predictors in Lasso
lassoscore,High-Dimensional Inference with the Penalized Score Test
lassoshooting,L1 regularized regression (Lasso) solver using the Cyclic Coordinate Descent algorithm aka Lasso Shooting
LassoSIR,Sparsed Sliced Inverse Regression via Lasso
latdiag,Draws Diagrams Useful for Checking Latent Scales
latentgraph,Graphical Models with Latent Variables
latentnet,Latent Position and Cluster Models for Statistical Networks
later,Utilities for Scheduling Functions to Execute Later with Event Loops
Laterality,Functions to Calculate Common Laterality Statistics in Primatology
latex2exp,Use LaTeX Expressions in Plots
latexpdf,Convert Tables to PDF or PNG
latrend,A Framework for Clustering Longitudinal Data
latte,Interface to 'LattE' and '4ti2'
lattice,Trellis Graphics for R
LatticeDesign,Lattice-Based Space-Filling Designs
latticeExtra,Extra Graphical Utilities Based on Lattice
LatticeKrig,Multi-Resolution Kriging Based on Markov Random Fields
lava,Latent Variable Models
lavaan,Latent Variable Analysis
lavaan.shiny,Latent Variable Analysis with Shiny
lavaan.survey,Complex Survey Structural Equation Modeling (SEM)
lavacreg,Latent Variable Count Regression Models
lavaSearch2,Tools for Model Specification in the Latent Variable Framework
Lavash,Lava Estimation for the Sum of Sparse and Dense Signals
LAWBL,Latent (Variable) Analysis with Bayesian Learning
lawstat,"Tools for Biostatistics, Public Policy, and Law"
lax,Loglikelihood Adjustment for Extreme Value Models
lazy,Lazy Learning for Local Regression
lazyarray,Persistent Large Data Array with Lazy-Loading on Demand
lazybar,Progress Bar with Remaining Time Forecast Method
lazyData,A LazyData Facility
lazyeval,Lazy (Non-Standard) Evaluation
lazygreedy,Applying the Lazy-Greedy Spanning Algorithm
lazyraster,Generate Raster Data Lazily from 'GDAL'
lazysf,Delayed Read for 'GDAL' Vector Data Sources
lazysql,Lazy SQL Programming
lazytrade,Learn Computer and Data Science using Algorithmic Trading
lazyWeave,LaTeX Wrappers for R Users
lba,Latent Budget Analysis for Compositional Data
lbfgs,Limited-memory BFGS Optimization
lbfgsb3c,Limited Memory BFGS Minimizer with Bounds on Parameters with optim() 'C' Interface
lbiassurv,Length-biased correction to survival curve estimation
lbreg,Log-Binomial Regression with Constrained Optimization
LBSPR,Length-Based Spawning Potential Ratio
LCA,Localised Co-Dependency Analysis
LCAextend,Latent Class Analysis (LCA) with Familial Dependence in Extended Pedigrees
lcars,LCARS Aesthetic for Shiny
LCAvarsel,Variable Selection for Latent Class Analysis
lcc,Longitudinal Concordance Correlation
lcda,Latent Class Discriminant Analysis
LCF,Linear Combination Fitting
LCFdata,Data sets for package “LMERConvenienceFunctions”
lchemix,A Bayesian Multi-Dimensional Couple-Based Latent Risk Model
lclGWAS,Efficient Estimation of Discrete-Time Multivariate Frailty Model Using Exact Likelihood Function for Grouped Survival Data
LCMCR,Bayesian Non-Parametric Latent-Class Capture-Recapture
lcmm,Extended Mixed Models Using Latent Classes and Latent Processes
lconnect,Simple Tools to Compute Landscape Connectivity Metrics
lcopula,Liouville Copulas
LCox,A Tool for Selecting Genes Related to Survival Outcomes using Longitudinal Gene Expression Data
lcpm,Ordinal Outcomes: Generalized Linear Models with the Log Link
lcra,Bayesian Joint Latent Class and Regression Models
lcsm,Univariate and Bivariate Latent Change Score Modeling
lctools,"Local Correlation, Spatial Inequalities, Geographically Weighted Regression and Other Tools"
lcyanalysis,Stock Data Analysis Functions
lda,Collapsed Gibbs Sampling Methods for Topic Models
ldamatch,Selection of Statistically Similar Research Groups
ldaPrototype,Prototype of Multiple Latent Dirichlet Allocation Runs
LDAShiny,User-Friendly Interface for Review of Scientific Literature
ldat,Large Data Sets
LDATS,Latent Dirichlet Allocation Coupled with Time Series Analyses
ldatuning,Tuning of the Latent Dirichlet Allocation Models Parameters
LDAvis,Interactive Visualization of Topic Models
ldbod,Local Density-Based Outlier Detection
ldbounds,Lan-DeMets Method for Group Sequential Boundaries
LDcorSV,Linkage Disequilibrium Corrected by the Structure and the Relatedness
LDheatmap,Graphical Display of Pairwise Linkage Disequilibria Between SNPs
ldhmm,Hidden Markov Model for Financial Time-Series Based on Lambda Distribution
LDlinkR,Calculating Linkage Disequilibrium (LD) in Human Population Groups of Interest
LDNN,Longitudinal Data Neural Network
LDOD,Finding Locally D-optimal optimal designs for some nonlinear and generalized linear models
LDPD,Probability of Default Calibration
ldr,Methods for likelihood-based dimension reduction in regression
LDRTools,Tools for Linear Dimension Reduction
ldsep,Linkage Disequilibrium Shrinkage Estimation for Polyploids
ldsr,Linear Dynamical System Reconstruction
leabRa,The Artificial Neural Networks Algorithm Leabra
leaderCluster,Leader Clustering Algorithm
LeafArea,Rapid Digital Image Analysis of Leaf Area
leafem,'leaflet' Extensions for 'mapview'
leafgl,High-Performance 'WebGl' Rendering for Package 'leaflet'
leaflegend,Add Custom Legends to 'leaflet' Maps
leaflet,Create Interactive Web Maps with the JavaScript 'Leaflet' Library
leaflet.esri,'ESRI' Bindings for the 'leaflet' Package
leaflet.extras,Extra Functionality for 'leaflet' Package
leaflet.extras2,Extra Functionality for 'leaflet' Package
leaflet.minicharts,Mini Charts for Interactive Maps
leaflet.multiopacity,Leaflet Multiple Opacity Controls for R
leaflet.opacity,Opacity Controls for Leaflet Maps
leaflet.providers,Leaflet Providers
leafletCN,An R Gallery for China and Other Geojson Choropleth Map in Leaflet
leafletR,Interactive Web-Maps Based on the Leaflet JavaScript Library
leafpm,Leaflet Map Plugin for Drawing and Editing
leafpop,"Include Tables, Images and Graphs in Leaflet Pop-Ups"
leafSTAR,Silhouette to Area Ratio of Tilted Surfaces
leafsync,Small Multiples for Leaflet Web Maps
leaftime,'Leaflet-timeline' Plugin for Leaflet
leanpubr,'Leanpub' API Interface
LEANR,"Finds ""Local Subnetworks"" Within an Interaction Network which Show Enrichment for Differentially Expressed Genes"
LEAP,Constructing Gene Co-Expression Networks for Single-Cell RNA-Sequencing Data Using Pseudotime Ordering
LEAPFrOG,Likelihood Estimation of Admixture in Parents From Offspring Genotypes
leapp,latent effect adjustment after primary projection
leaps,Regression Subset Selection
LeArEst,Border and Area Estimation of Data Measured with Additive Error
LearnBayes,Functions for Learning Bayesian Inference
LearnClust,Learning Hierarchical Clustering Algorithms
LearnGeom,Learning Plane Geometry
learningr,"Data and Functions to Accompany the Book ""Learning R"""
LearningRlab,Statistical Learning Functions
learNN,Examples of Neural Networks
learnPopGen,Population Genetic Simulations & Numerical Analysis
learnr,Interactive Tutorials for R
learnrbook,"Datasets for P. J. Aphalo's ""Learn R"" Book"
learnstats,An Interactive Environment for Learning Statistics
leastcostpath,Modelling Pathways and Movement Potential Within a Landscape (Version 1.8.0)
ledger,Utilities for Importing Data from Plain Text Accounting Files
leerSIECyL,Read Data from the SIE
lefko3,Historical and Ahistorical Population Projection Matrix Analysis
legco,Accessing Hong Kong Legislative Council API
legislatoR,Interface to the Comparative Legislators Database
LEGIT,Latent Environmental & Genetic InTeraction (LEGIT) Model
legocolors,Official Lego Color Palettes
lehdr,Grab Longitudinal Employer-Household Dynamics (LEHD) Flat Files
leiden,R Implementation of Leiden Clustering Algorithm
leidenAlg,Implements the Leiden Algorithm via an R Interface
leiv,Bivariate Linear Errors-In-Variables Estimation
LeMaRns,Length-Based Multispecies Analysis by Numerical Simulation
lemon,Freshing Up your 'ggplot2' Plots
lenses,Elegant Data Manipulation with Lenses
leontief,Input-Output Analysis
leri,Access Landscape Evaporative Response Index Raster Data
lero.lero,Generate 'Lero Lero' Quotes
lessR,"Less Code, More Results"
lest,Vectorised Nested if-else Statements Similar to CASE WHEN in 'SQL'
lestat,A Package for Learning Statistics
letsR,Data Handling and Analysis in Macroecology
lexicon,Lexicons for Text Analysis
lexiconPT,Lexicons for Portuguese Text Analysis
LexisNexisTools,Working with Files from 'LexisNexis'
LexisPlotR,Plot Lexis Diagrams for Demographic Purposes
lexRankr,Extractive Summarization of Text with the LexRank Algorithm
lfactors,Factors with Levels
lfda,Local Fisher Discriminant Analysis
LFDR.MLE,Estimation of the Local False Discovery Rates by Type II Maximum Likelihood Estimation
LFDR.MME,Estimating Local False Discovery Rates Using the Method of Moments
LFDREmpiricalBayes,Estimating Local False Discovery Rates Using Empirical Bayes Methods
lfe,Linear Group Fixed Effects
lfl,Linguistic Fuzzy Logic
lfmm,Latent Factor Mixed Models
lfstat,Calculation of Low Flow Statistics for Daily Stream Flow Data
lg,Locally Gaussian Distributions: Estimation and Methods
lgarch,Simulation and Estimation of Log-GARCH Models
lgcp,Log-Gaussian Cox Process
LGEWIS,Tests for Genetic Association/Gene-Environment Interaction in Longitudinal Studies
lgr,A Fully Featured Logging Framework
lgrdata,Example Datasets for a Learning Guide to R
lgrExtra,Extra Appenders for 'lgr'
LGRF,Set-Based Tests for Genetic Association in Longitudinal Studies
lgtdl,A Set of Methods for Longitudinal Data Objects
LHD,Latin Hypercube Designs (LHDs)
lhmixr,Fit Sex-Specific Life History Models with Missing Classifications
lhs,Latin Hypercube Samples
liayson,Linking Singe-Cell Transcriptomes Atween Contemporary Subpopulation Genomes
libcoin,Linear Test Statistics for Permutation Inference
libgeos,Open Source Geometry Engine ('GEOS') C API
LiblineaR,Linear Predictive Models Based on the LIBLINEAR C/C++ Library
LiblineaR.ACF,Linear Classification with Online Adaptation of Coordinate Frequencies
LibOPF,Design of Optimum-Path Forest Classifiers
libr,"Libraries, Data Dictionaries, and a Data Step for R"
Libra,Linearized Bregman Algorithms for Generalized Linear Models
librarian,"Install, Update, Load Packages from CRAN, 'GitHub', and 'Bioconductor' in One Step"
librarysnapshot,Library Snapshot for Packages and Dependencies in Use by Current Session
libsoc,"Read, Create and Write 'PharmML' Standard Output (so) XML Files"
libstableR,"Fast and Accurate Evaluation, Random Number Generation and Parameter Estimation of Skew Stable Distributions"
LICORS,Light Cone Reconstruction of States - Predictive State Estimation From Spatio-Temporal Data
lidaRtRee,Forest Analysis with Airborne Laser Scanning (LiDAR) Data
lidR,Airborne LiDAR Data Manipulation and Visualization for Forestry Applications
lifecontingencies,Financial and Actuarial Mathematics for Life Contingencies
lifecourse,Quantification of Lifecourse Fluidity
lifecycle,Manage the Life Cycle of your Package Functions
LifeHist,Life History Models of Individuals
LifeInsuranceContracts,Framework for Traditional Life Insurance Contracts
lifelogr,Life Logging
LifeTables,Two-Parameter HMD Model Life Table System
lift,Compute the Top Decile Lift and Plot the Lift Curve
liftLRD,Wavelet Lifting Estimators of the Hurst Exponent for Regularly and Irregularly Sampled Time Series
liftr,Containerize R Markdown Documents for Continuous Reproducibility
lifx,Control 'LIFX' Smart Light Bulbs
liger,Lightweight Iterative Geneset Enrichment
lightgbm,Light Gradient Boosting Machine
LightningR,Tools for Communication with Lightning-Viz Server
lightr,Read Spectrometric Data and Metadata
lightsout,Implementation of the 'Lights Out' Puzzle Game
LIHKGr,Scrape Text Data from LIHKG
LIHNPSD,Poisson Subordinated Distribution
likelihood,Methods for Maximum Likelihood Estimation
likelihoodAsy,Functions for Likelihood Asymptotics
likelihoodExplore,Likelihood Exploration
likelihoodR,Likelihood Analyses for Common Statistical Tests
likeLTD,Tools to Evaluate DNA Profile Evidence
likert,Analysis and Visualization Likert Items
lilikoi,Metabolomics Personalized Pathway Analysis Tool
lillies,Estimation of Life Years Lost
LilRhino,"For Implementation of Feed Reduction, Learning Examples, NLP and Code Management"
LIM,Linear Inverse Model examples and solution methods
lime,Local Interpretable Model-Agnostic Explanations
limitplot,Jitter/CI Plot with Ordered Points Below the Limit of Detection
LimnoPalettes,A Limnology Themed Palette Generator
limSolve,Solving Linear Inverse Models
lin.eval,Perform Polynomial Evaluation of Linearity
linbin,Binning and Plotting of Linearly Referenced Data
LinCal,Static Univariate Frequentist and Bayesian Linear Calibration
LindenmayeR,Functions to Explore L-Systems (Lindenmayer Systems)
lindia,Automated Linear Regression Diagnostic
LindleyPowerSeries,Lindley Power Series Distribution
LindleyR,The Lindley Distribution and Its Modifications
linear.tools,Manipulate Formulas and Evaluate Marginal Effects
LinearDetect,Change Point Detection in High-Dimensional Linear Regression Models
linearOrdering,Methods of Linear Ordering of Data
linearQ,Linear Algorithm for Simulating Quantiles in Multiscale Change-Point Segmentation Problem
LinearRegressionMDE,Minimum Distance Estimation in Linear Regression Model
lineartestr,Linear Specification Testing
linemap,Line Maps
lineqGPR,Gaussian Process Regression Models with Linear Inequality Constraints
linERR,Linear Excess Relative Risk Model
lineup,Lining Up Two Sets of Measurements
lineup2,Lining Up Two Sets of Measurements
lingmatch,Linguistic Matching and Accommodation
lingtypology,Linguistic Typology and Mapping
linguisticsdown,Easy Linguistics Document Writing with R Markdown
link2GI,"Linking Geographic Information Systems, Remote Sensing and Other Command Line Tools"
LinkageMapView,Plot Linkage Group Maps with Quantitative Trait Loci
linkcomm,"Tools for Generating, Visualizing, and Analysing Link Communities in Networks"
LinkedGASP,Linked Emulator of a Coupled System of Simulators
LinkedMatrix,Column-Linked and Row-Linked Matrices
linkim,Linkage information based genotype imputation method
linkprediction,Link Prediction Methods
linkspotter,Bivariate Correlations Calculation and Visualization
linl,'linl' is not 'Letter'
linLIR,linear Likelihood-based Imprecise Regression
linne,Convenient 'CSS'
linpk,Generate Concentration-Time Profiles from Linear PK Systems
linprog,Linear Programming / Optimization
LinRegInteractive,Interactive Interpretation of Linear Regression Models
LINselect,Selection of Linear Estimators
lintools,Manipulation of Linear Systems of (in)Equalities
lintr,A 'Linter' for R Code
LipidMS,Lipid Annotation for LC-MS/MS DDA or DIA Data
LipidMSdata,'LipidMS' Data
lipidomeR,Integrative Visualizations of the Lipidome
liqueueR,"Implements Queue, PriorityQueue and Stack Classes"
lira,LInear Regression in Astronomy
lisa,Color Palettes from Color Lisa
lisp,List-processing à la SRFI-1
lisrelToR,Import output from LISREL into R
list,Statistical Methods for the Item Count Technique and List Experiment
listArray,Incomplete Array with Arbitrary R Objects as Indices
listarrays,A Toolbox for Working with R Arrays in a Functional Programming Style
listcomp,List Comprehensions
listcompr,List Comprehension for R
listdown,Create R Markdown from Lists
listdtr,List-Based Rules for Dynamic Treatment Regimes
listenv,Environments Behaving (Almost) as Lists
LIStest,Tests of independence based on the Longest Increasing Subsequence
listviewer,'htmlwidget' for Interactive Views of R Lists
listWithDefaults,List with Defaults
liteq,Lightweight Portable Message Queue Using 'SQLite'
litteR,Litter Analysis
littler,R at the Command-Line via 'r'
liureg,Liu Regression with Liu Biasing Parameters and Statistics
live,Local Interpretable (Model-Agnostic) Visual Explanations
livechatR,R Wrapper for LiveChat REST API
liver,"""Eating the Liver of Data Science"""
ljr,Logistic Joinpoint Regression
llama,Leveraging Learning to Automatically Manage Algorithms
llbayesireg,The L-Logistic Bayesian Regression
lle,Locally linear embedding
lllcrc,Local Log-linear Models for Capture-Recapture
LLM,Logit Leaf Model Classifier for Binary Classification
llogistic,The L-Logistic Distribution
LLSR,Data Analysis of Liquid-Liquid Systems using R
lm.beta,Add Standardized Regression Coefficients to lm-Objects
lm.br,Linear Model with Breakpoint
lmboot,Bootstrap in Linear Models
lmds,Landmark Multi-Dimensional Scaling
lme4,Linear Mixed-Effects Models using 'Eigen' and S4
lmec,Linear Mixed-Effects Models with Censored Responses
lmeInfo,Information Matrices for 'lmeStruct' and 'glsStruct' Objects
lmem.qtler,Linear Mixed Effects Models for QTL Mapping for Multienvironment and Multitrait Analysis
lmeNB,Compute the Personalized Activity Index Based on a Negative Binomial Model
lmeNBBayes,Compute the Personalized Activity Index Based on a Flexible Bayesian Negative Binomial Model
LMERConvenienceFunctions,Model Selection and Post-Hoc Analysis for (G)LMER Models
lmeresampler,Bootstrap Methods for Nested Linear Mixed-Effects Models
lmerTest,Tests in Linear Mixed Effects Models
lmeSplines,Add smoothing spline modelling capability to nlme
LMest,Generalized Latent Markov Models
lmeVarComp,Testing for a Subset of Variance Components in Linear Mixed Models
lmf,Functions for estimation and inference of selection in age-structured populations
LMfilteR,Filter Methods for Parameter Estimation in Linear and Non Linear Regression Models
lmfor,Functions for Forest Biometrics
lmkCHK,Tools to Visualize and Screen 2D/3D Landmark Data
lmm,Linear Mixed Models
LMMELSM,Fit Latent Multivariate Mixed Effects Location Scale Models
lmmot,Multiple Ordinal Tobit (MOT) Model
lmmpar,Parallel Linear Mixed Model
lmodel2,Model II Regression
LMoFit,Advanced L-Moment Fitting of Distributions
lmom,L-Moments
lmomco,"L-Moments, Censored L-Moments, Trimmed L-Moments, L-Comoments, and Many Distributions"
Lmoments,L-Moments and Quantile Mixtures
lmomPi,(Precipitation) Frequency Analysis and Variability with L-Moments from 'lmom'
lmomRFA,Regional Frequency Analysis using L-Moments
lmPerm,Permutation Tests for Linear Models
lmQCM,An Algorithm for Gene Co-Expression Analysis
lmreg,Data and Functions Used in Linear Models and Regression with R: An Integrated Approach
lmridge,Linear Ridge Regression with Ridge Penalty and Ridge Statistics
lmSubsets,Exact Variable-Subset Selection in Linear Regression
lmSupport,Support for Linear Models
lmtest,Testing Linear Regression Models
lmtp,Non-Parametric Causal Effects of Feasible Interventions Based on Modified Treatment Policies
lmvar,Linear Regression with Non-Constant Variances
lmviz,A Package to Visualize Linear Models Features and Play with Them
lncDIFF,Long Non-Coding RNA Differential Expression Analysis
LncFinder,LncRNA Identification and Analysis Using Heterologous Features
LncPath,Identifying the Pathways Regulated by LncRNA Sets of Interest
LNIRT,LogNormal Response Time Item Response Theory Models
loa,Lattice Options and Add-Ins
loadr,Cleaner Workspaces with Shared Variable Environments
lobstr,Visualize R Data Structures with Trees
LocalControl,Nonparametric Methods for Generating High Quality Comparative Effectiveness Evidence
LocalControlStrategy,Local Control Strategy for Robust Analysis of Cross-Sectional Data
localFDA,Localization Processes for Functional Data Analysis
localgauss,Estimating Local Gaussian Parameters
localICE,Local Individual Conditional Expectation
localIV,Estimation of Marginal Treatment Effects using Local Instrumental Variables
localModel,LIME-Based Explanations with Interpretable Inputs Based on Ceteris Paribus Profiles
localScore,Package for Sequence Analysis by Local Score
localsolver,R API to LocalSolver
locatexec,Detection and Localization of Executable Files
locationgamer,Identification of Location Game Equilibria in Networks
locfdr,Computes Local False Discovery Rates
LocFDRPois,Functions for Performing Local FDR Estimation when Null and Alternative are Poisson
locfit,"Local Regression, Likelihood and Density Estimation"
locits,Test of Stationarity and Localized Autocovariance
Lock5Data,"Datasets for ""Statistics: UnLocking the Power of Data"""
Lock5withR,Datasets for 'Statistics: Unlocking the Power of Data'
locpol,Kernel Local Polynomial Regression
locStra,Fast Implementation of (Local) Population Stratification Methods
loder,Dependency-Free Access to PNG Image Files
lodGWAS,Genome-Wide Association Analysis of a Biomarker Accounting for Limit of Detection
lodi,Limit of Detection Imputation for Single-Pollutant Models
lodr,Linear Model Fitting with LOD Covariates
loe,Local Ordinal Embedding
loewesadditivity,Loewe's Additivity
log,Record Events and Issues
log4r,"A Fast and Lightweight Logging System for R, Based on 'log4j'"
LOGAN,Log File Analysis in International Large-Scale Assessments
logbin,Relative Risk Regression Using the Log-Binomial Model
LogConcDEAD,Log-Concave Density Estimation in Arbitrary Dimensions
logconcens,Maximum Likelihood Estimation of a log-Concave Density Based on Censored Data
logcondens,Estimate a Log-Concave Probability Density from Iid Observations
logcondens.mode,"Compute MLE of Log-Concave Density on R with Fixed Mode, and Perform Inference for the Mode"
logcondiscr,Estimate a Log-Concave Probability Mass Function from Discrete i.i.d. Observations
logger,"A Lightweight, Modern and Flexible Logging Utility"
logging,R Logging Package
loggit,Modern Logging for the R Ecosystem
logib,Salary Analysis by the Swiss Federal Office for Gender Equality
logiBin,Binning Variables to Use in Logistic Regression
LOGICOIL,LOGICOIL: multi-state prediction of coiled-coil oligomeric state
LogicReg,Logic Regression
logihist,Combined Graphs for Logistic Regression
logistf,Firth's Bias-Reduced Logistic Regression
logistic4p,Logistic Regression with Misclassification in Dependent Variables
LogisticDx,Diagnostic Tests for Models with a Binomial Response
logisticPCA,Binary Dimensionality Reduction
logisticRR,Adjusted Relative Risk from Logistic Regression
LogitNet,Infer network based on binary arrays using regularized logistic regression
logitnorm,Functions for the Logitnormal Distribution
logitr,Logit Models w/Preference & WTP Space Utility Parameterizations
logKDE,Computing Log-Transformed Kernel Density Estimates for Positive Data
loglognorm,Double log normal distribution functions
logmult,"Log-Multiplicative Models, Including Association Models"
lognorm,Functions for the Lognormal Distribution
logNormReg,log Normal Linear Regression
logOfGamma,Natural Logarithms of the Gamma Function for Large Values
logr,Creates Log Files
LogrankA,Logrank Test for Aggregated Survival Data
logspline,Routines for Logspline Density Estimation
lokern,Kernel Regression Smoothing with Local or Global Plug-in Bandwidth
lolog,Latent Order Logistic Graph Models
lolR,Linear Optimal Low-Rank Projection
lomb,Lomb-Scargle Periodogram
LongCART,Recursive Partitioning for Longitudinal Data and Right Censored Data Using Baseline Covariates
longCatEDA,Package for Plotting Categorical Longitudinal and Time-Series Data
longclust,Model-Based Clustering and Classification for Longitudinal Data
longitudinal,Analysis of Multiple Time Course Data
longitudinalcascade,Longitudinal Cascade
longitudinalData,Longitudinal Data
LongituRF,Random Forests for Longitudinal Data
longmemo,"Statistics for Long-Memory Processes (Book Jan Beran), and Related Functionality"
LongMemoryTS,Long Memory Time Series
longpower,Sample Size Calculations for Longitudinal Data
longROC,Time-Dependent Prognostic Accuracy with Multiply Evaluated Bio Markers or Scores
longRPart2,Recursive Partitioning of Longitudinal Data
longurl,Expand Short 'URLs'
loo,Efficient Leave-One-Out Cross-Validation and WAIC for Bayesian Models
lookout,Leave One Out Kernel Density Estimates for Outlier Detection
lookupTable,Look-Up Tables using S4
loon,Interactive Statistical Data Visualization
loon.data,Data Used to Illustrate 'Loon' Functionality
loon.ggplot,Making 'ggplot2' Plots Interactive with 'loon' and Vice Versa
loop,"loop decomposition of weighted directed graphs for life cycle analysis, providing flexbile network plotting methods, and analyzing food chain properties in ecology"
LoopAnalyst,A Collection of Tools to Conduct Levins' Loop Analysis
LoopDetectR,Comprehensive Feedback Loop Detection in ODE Models
LoopRig,Integration and Analysis of Chromatin Loop Data
loose.rock,Tools for Survival Analysis and Data Science
LOPART,Labeled Optimal Partitioning
lordif,Logistic Ordinal Regression Differential Item Functioning using IRT
lorec,LOw Rand and sparsE Covariance matrix estimation
lorentz,The Lorentz Transform in Relativistic Physics
lorenz,Tools for Deriving Income Inequality Estimates from Grouped Income Data
lori,Imputation of High-Dimensional Count Data using Side Information
LOST,Missing Morphometric Data Simulation and Estimation
LotkasLaw,Runs Lotka's Law which is One of the Special Applications of Zipf's Law
lotri,"A Simple Way to Specify Symmetric, Block Diagonal Matrices"
lowmemtkmeans,Low Memory Use Trimmed K-Means
lowpassFilter,Lowpass Filtering
LowRankQP,Low Rank Quadratic Programming
LowWAFOMNX,Low WAFOM Niederreiter-Xing Sequence
LowWAFOMSobol,Low WAFOM Sobol Sequence
LPBkg,Detecting New Signals under Background Mismodelling
lpbrim,LP-BRIM Bipartite Modularity
lpc,Lassoed Principal Components for Testing Significance of Features
LPCM,Local Principal Curve Methods
lpdensity,Local Polynomial Density Estimation and Inference
LPDynR,Land Productivity Dynamics Indicator
LPGraph,Nonparametric Smoothing of Laplacian Graph Spectra
lpint,Local polynomial estimators of intensity function or its derivatives
lpirfs,Local Projections Impulse Response Functions
LPKsample,LP Nonparametric High Dimensional K-Sample Comparison
LPM,Linear Parametric Models Applied to Hydrological Series
lpme,Nonparametric Estimation of Measurement Error Models
LPmerge,Merging Linkage Maps by Linear Programming
lpmodeler,Modeler for linear programs (LP) and mixed integer linear programs (MILP)
LPower,"Calculates Power, Sample Size, or Detectable Effect for Longitudinal Analyses"
LPRelevance,Relevance-Integrated Statistical Inference Engine
lpridge,Local Polynomial (Ridge) Regression
LPS,"Linear Predictor Score, for Binary Inference from Multiple Continuous Variables"
LPsmooth,LP Smoothed Inference and Graphics
lpSolve,Interface to 'Lp_solve' v. 5.5 to Solve Linear/Integer Programs
lpSolveAPI,R Interface to 'lp_solve' Version 5.5.2.0
LPStimeSeries,Learned Pattern Similarity and Representation for Time Series
LPTime,LP Nonparametric Approach to Non-Gaussian Non-Linear Time Series Modelling
LPWC,Lag Penalized Weighted Correlation for Time Series Clustering
lqmm,Linear Quantile Mixed Models
lqr,Robust Linear Quantile Regression
LRcontrast,Dose Response Signal Detection under Model Uncertainty
lrequire,"Sources an R ""Module"" with Caching & Encapsulation, Returning Exported Vars"
lrgs,Linear Regression by Gibbs Sampling
lrmest,Different Types of Estimators to Deal with Multicollinearity
LRQMM,Fitting Linear Quantile Regression Mixed Models with Relationship Matrix
LRTH,A Likelihood Ratio Test Accounting for Genetic Heterogeneity
LS2W,Locally Stationary Two-Dimensional Wavelet Process Estimation Scheme
LS2Wstat,A Multiscale Test of Spatial Stationarity for LS2W Processes
lsa,Latent Semantic Analysis
LSAfun,Applied Latent Semantic Analysis (LSA) Functions
LSAmitR,"Daten, Beispiele und Funktionen zu 'Large-Scale Assessment mit R'"
lsasim,Functions to Facilitate the Simulation of Large Scale Assessment Data
lsbclust,Least-Squares Bilinear Clustering for Three-Way Data
lsbs,Bandwidth Selection for Level Sets and HDR Estimation
LSC,Local Statistical Complexity - Automatic Pattern Discovery in Spatio-Temporal Data
LSD,Lots of Superior Depictions
lsdbc,Locally Scaled Density Based Clustering
LSDinterface,Reading LSD Results (.res) Files
LSDsensitivity,Sensitivity Analysis Tools for LSD
lsdv,Least square dummy variable regression
lsei,Solving Least Squares or Quadratic Programming Problems under Equality/Inequality Constraints
lshorth,The Length of the Shorth
lsl,Latent Structure Learning
lslx,Semi-Confirmatory Structural Equation Modeling via Penalized Likelihood or Least Squares
lsm,Estimation of the log Likelihood of the Saturated Model
lsmeans,Least-Squares Means
LSMonteCarlo,American options pricing with Least Squares Monte Carlo method
LSMRealOptions,Value American and Real Options Through LSM Simulation
lspartition,Nonparametric Estimation and Inference Procedures using Partitioning-Based Least Squares Regression
LSPFP,Lysate and Secretome Peptide Feature Plotter
lspline,Linear Splines with Convenient Parametrisations
lspls,LS-PLS Models
lsplsGlm,Classification using LS-PLS for Logistic Regression
lsr,"Companion to ""Learning Statistics with R"""
LSRS,Land Surface Remote Sensing
lss2,The Accelerated Failure Time Model to Right Censored Data Based on Least-Squares Principle
LST,Land Surface Temperature Retrieval
LSX,Model for Semisupervised Text Analysis Based on Word Embeddings
ltable,Easy to Make (Lazy) Tables
ltbayes,Simulation-Based Bayesian Inference for Latent Traits of Item Response Models
ltm,Latent Trait Models under IRT
ltmix,"Left-Truncated Mixtures of Gamma, Weibull, and Lognormal Distributions"
ltmle,Longitudinal Targeted Maximum Likelihood Estimation
LTPDvar,LTPD and AOQL Plans for Acceptance Sampling Inspection by Variables
LTRCforests,Ensemble Methods for Survival Data with Time-Varying Covariates
LTRCtrees,Survival Trees to Fit Left-Truncated and Right-Censored and Interval-Censored Survival Data
ltsa,Linear Time Series Analysis
ltsbase,Ridge and Liu Estimates based on LTS (Least Trimmed Squares) Method
ltsk,Local Time Space Kriging
ltsspca,Sparse Principal Component Based on Least Trimmed Squares
ltxsparklines,Lightweight Sparklines for a LaTeX Document
lubridate,Make Dealing with Dates a Little Easier
lucas,Package to Download and Create the DB of LUCAS Data Harmonized
lucid,Printing Floating Point Numbers in a Human-Friendly Format
LUCIDus,Latent Unknown Clustering with Integrated Data
ludic,Linkage Using Diagnosis Codes
